pathway	external_id	source	hgnc_symbol_ids
Glycine, serine and threonine metabolism - Homo sapiens (human)	path:hsa00260	KEGG	GRHPR,AOC2,GNMT,BPGM,SDS,AGXT,PGAM1,AOC3,AGXT2,PGAM4,GAMT,PGAM2,DMGDH,GCAT,CTH,CBSL,BHMT,ALAS1,GLDC,DAO,GATM,ALAS2,AMT,DLD,SRR,PHGDH,ALDH7A1,CHDH,SHMT2,SHMT1,SDSL,PIPOX,PSPH,GLYCTK,PSAT1,MAOB,MAOA,SARDH,CBS,GCSH
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	path:hsa00980	KEGG	EPHX1,ALDH3B2,GSTA4,GSTA5,ALDH3A1,UGT2A3,UGT2A2,UGT2A1,GSTA3,MGST2,UGT1A4,MGST1,DHDH,UGT1A9,ADH6,CYP2S1,UGT1A5,UGT1A6,UGT1A7,UGT1A1,ALDH1A3,AKR7A3,CYP1B1,CYP2D6,CYP2D7,CYP2B6,CYP2F1,CBR3,AKR1C1,UGT2B15,UGT2B17,UGT2B10,UGT2B11,UGT2B28,GSTA2,CBR1,UGT2B4,SULT2A1,UGT2B7,ALDH3B1,CYP2A13,GSTA1,AKR7A2,ADH4,CYP2A6,UGT1A10,GSTT2B,CYP3A4,CYP3A5,HPGDS,GSTT2,CYP2C9,CYP1A1,CYP1A2,GSTO1,ADH7,GSTT1,ADH5,MGST3,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,CYP2E1,GSTP1,GSTO2,ADH1B,ADH1A,UGT1A3,UGT1A8,HSD11B1,ADH1C,GSTK1
Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	KEGG	ITPA,GSTT2,GSTA4,MGST3,NME1-NME2,UGT2A3,UGT2A2,UGT2A1,NME1,MGST2,UGT1A4,MGST1,UGT1A8,UGT1A9,RRM1,UPB1,UGT1A5,UGT1A6,UGT1A7,UGT1A1,UGT1A3,NME4,UGT1A10,DPYD,CMPK1,HPRT1,IMPDH1,IMPDH2,XDH,DPYS,UGT2B15,UGT2B17,RRM2B,UGT2B11,GSTA5,UGT2B10,GSTA2,GUSB,UGT2B7,UGT2B4,UCK2,UMPS,UCK1,NAT2,NAT1,TPMT,UPP1,GSTA1,CES1,GSTO1,TK2,CYP2A6,TK1,CYP3A4,GSTA3,DUT,NME2,GMPS,GSTO2,UPP2,NME6,NME7,GSTT2B,CDA,GSTT1,UCKL1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,CYP2E1,GSTP1,CES2,TYMP,MPO,UGT2B28,NME3,RRM2
Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	KEGG	AOX1,GSTT2,UGT2B7,GSTA4,GSTA5,ALDH3A1,UGT2A3,UGT2A2,UGT2A1,GSTA3,MGST2,MGST3,MGST1,UGT1A8,UGT1A9,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A1,UGT1A3,CYP2D6,CYP2D7,CYP2B6,MAOA,UGT2B15,UGT2B17,UGT2B10,UGT2B11,ADH1C,GSTA2,ALDH1A3,FMO2,FMO3,UGT2B4,FMO1,FMO4,FMO5,GSTA1,CYP2C9,ALDH3B2,ADH4,CYP2A6,UGT1A10,GSTT2B,CYP3A4,CYP3A5,HPGDS,ADH6,GSTO2,CYP2C8,CYP1A2,GSTO1,ADH7,ADH5,GSTT1,ALDH3B1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,CYP2E1,MAOB,GSTP1,CYP2C19,ADH1B,ADH1A,UGT2B28,GSTK1
Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	path:hsa04961	KEGG	PTH1R,VDR,FXYD2,CLTC,DNM2,CLTA,DNM3,CLTB,AP2B1,TRPV5,RAB11A,AP2S1,AP2M1,SLC8A1,ATP1A3,PLCB1,PLCB2,PLCB3,PLCB4,PRKCA,ATP1B4,PRKCB,ATP1B2,ATP1B3,CALB1,ATP1B1,KLK1,KLK2,AP2A1,PRKCG,AP2A2,ATP2B1,CLTCL1,ADCY6,BDKRB2,GNAQ,ESR1,GNAS,ADCY9,KL,PRKACG,ATP1A4,PRKACA,ATP1A2,ATP1A1,PRKACB,DNM1
Oxidative phosphorylation - Homo sapiens (human)	path:hsa00190	KEGG	MT-CO1,MT-CO2,MT-CO3,NDUFB9,NDUFB8,NDUFB7,NDUFB6,NDUFB5,NDUFB4,NDUFB3,NDUFB2,NDUFB1,UQCRQ,UQCRH,UQCRB,NDUFAB1,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND5,MT-ND6,NDUFC2-KCTD14,ATP6AP1,NDUFB11,NDUFB10,NDUFA10,NDUFA11,NDUFA12,NDUFA13,ATP6V0D2,ATP6V0D1,ATP5MF,COX6A1,NDUFA4L2,COX6A2,ATP5ME,UQCRFS1,UQCRC2,UQCRC1,ATP6V1D,ATP6V1F,ATP6V1A,ATP6V1H,COX8C,COX6B1,COX6B2,COX7B2,MT-ND4L,UQCRHL,COX6C,MT-CYB,COX8A,COX7A1,COX7A2,ATP5PO,ATP5PD,ATP5F1E,ATP5PF,ATP5F1A,ATP5PB,ATP5F1C,TCIRG1,ATP6V1G3,ATP6V1G2,ATP6V1G1,COX10,COX11,COX15,COX17,PPA2,PPA1,NDUFV3,NDUFV2,NDUFV1,MT-ATP8,NDUFA6,NDUFA7,NDUFA4,NDUFA5,NDUFA2,NDUFA3,NDUFA1,NDUFA8,NDUFA9,COX4I2,COX4I1,MT-ATP6,ATP6V1E1,ATP6V1E2,ATP5F1D,COX7B,COX7C,ATP6V0B,COX5A,COX5B,ATP6V0C,UQCR10,UQCR11,SDHC,ATP5F1B,ATP5MC1,ATP5MC3,ATP5MC2,ATP6V0A4,LHPP,ATP5MG,ATP6V1B1,ATP6V1B2,ATP6V0A1,NDUFC1,NDUFC2,ATP6V0A2,NDUFS8,ATP6V1C2,ATP12A,ATP6V1C1,COX7A2L,ATP4A,ATP4B,CYC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,SDHA,ATP6V0E1,ATP6V0E2,SDHB,SDHD
Vitamin B6 metabolism - Homo sapiens (human)	path:hsa00750	KEGG	AOX1,PDXK,PSAT1,PHOSPHO2,PDXP,PNPO
Porphyrin and chlorophyll metabolism - Homo sapiens (human)	path:hsa00860	KEGG	ALAD,EARS2,UGT2A3,UGT2A2,UGT2A1,UROS,UROD,UGT1A8,UGT1A9,HEPH,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A1,FECH,UGT1A3,HMBS,HCCS,UGT1A10,ALAS1,UGT2B15,ALAS2,UGT2B17,UGT2B10,UGT2B11,EPRS,GUSB,UGT2B7,UGT2B4,CPOX,FXN,BLVRB,BLVRA,CP,PPOX,HMOX1,HMOX2,COX10,UGT2B28,MMAB,COX15
Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	path:hsa04960	KEGG	FXYD4,FXYD2,INSR,SLC9A3R2,PIK3CB,PIK3CD,SCNN1G,MAPK3,MAPK1,PIK3R3,SCNN1B,SCNN1A,HSD11B2,PIK3R2,NR3C2,IGF1,PIK3R1,PRKCA,ATP1B4,PRKCB,ATP1B2,ATP1B3,PRKCG,ATP1B1,KRAS,KCNJ1,SGK1,IRS1,INS,SFN,NEDD4L,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PIK3CA,PDPK1
DNA replication - Homo sapiens (human)	path:hsa03030	KEGG	POLA2,POLA1,RFC5,RFC4,RFC1,RFC3,RFC2,POLE,FEN1,DNA2,POLD1,POLD2,POLD3,POLD4,LIG1,PRIM2,PRIM1,PCNA,RNASEH1,MCM7,MCM6,MCM5,MCM4,MCM3,MCM2,SSBP1,RNASEH2A,RNASEH2C,RNASEH2B,RPA4,RPA1,RPA3,RPA2,POLE4,POLE3,POLE2
alpha-Linolenic acid metabolism - Homo sapiens (human)	path:hsa00592	KEGG	PLB1,PLA2G1B,PLA2G12B,PLA2G12A,PLA2G6,ACAA1,PLA2G5,PLA2G3,PLA2G2A,PLA2G2C,PLA2G2E,PLA2G2D,PLA2G2F,PLA2G4C,PLA2G4B,PLA2G4A,FADS2,PLA2G4F,PLA2G4E,PLA2G4D,PLA2G16,PLA2G10,JMJD7-PLA2G4B,ACOX3,ACOX1
Renin secretion - Homo sapiens (human)	path:hsa04924	KEGG	PPP3R2,PPP3R1,NPR1,ADORA1,CACNA1D,KCNMA1,PLCB3,REN,PTGER2,ADCYAP1,CLCA2,EDNRA,CLCA1,GNAI2,GNAI3,CLCA4,GNAI1,PTGER4,AGT,CALM2,CALM3,CALM1,PDE1C,PDE1B,PDE1A,CACNA1C,PDE3A,PRKACG,CACNA1F,PDE3B,GUCY1A1,GUCY1A2,ADCY5,PRKG2,CACNA1S,PLCB1,PLCB2,ORAI1,PLCB4,AQP1,CTSB,CREB1,ITPR2,ITPR3,ITPR1,AGTR1,ACE,KCNJ2,ADCY6,GNAQ,GNAS,CALML3,ADCYAP1R1,CALML6,CALML5,CALML4,ADRB1,ADRB2,ADRB3,PRKACA,GUCY1B1,PRKACB,PPP3CA,PPP3CB,PPP3CC
Arachidonic acid metabolism - Homo sapiens (human)	path:hsa00590	KEGG	CYP2J2,PTGS2,EPHX2,FAM213B,CBR1,PLA2G2F,PTGS1,CYP4F8,ALOX15,ALOX12,PLA2G1B,PLA2G4B,LTA4H,PTGDS,CYP4F2,CYP4F3,PLA2G4A,CYP2U1,AKR1C3,PLA2G12B,PLA2G12A,CYP2B6,CBR3,PLA2G4F,PLA2G6,LTC4S,PLA2G5,GGT5,PLA2G3,CYP2C19,CYP4A22,ALOX12B,TBXAS1,ALOX5,PTGIS,PLA2G2A,PLA2G2C,ALOX15B,PLA2G2E,PLA2G2D,PLB1,PLA2G4C,PLA2G10,PTGES,HPGDS,PLA2G4E,PLA2G4D,CYP2C9,CYP2C8,PLA2G16,CYP4A11,PTGES3,PTGES2,CYP2E1,GPX1,JMJD7-PLA2G4B,GPX3,GPX2,GPX5,GPX7,GPX6,GPX8,GGT1
Linoleic acid metabolism - Homo sapiens (human)	path:hsa00591	KEGG	CYP2J2,PLA2G2F,ALOX15,PLA2G1B,CYP3A4,PLA2G12B,PLA2G12A,PLA2G6,PLA2G5,PLA2G3,PLA2G16,PLA2G2A,PLA2G2C,PLA2G2E,PLA2G2D,PLB1,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,CYP2C9,CYP2C8,CYP1A2,PLA2G10,JMJD7-PLA2G4B,CYP2E1,CYP2C19
Tuberculosis - Homo sapiens (human)	path:hsa05152	KEGG	PPP3R2,PPP3R1,PLK3,CASP10,AKT1,AKT2,AKT3,FCGR1A,LSP1,MRC1,MRC2,CTSS,CALM2,CALM3,CALM1,ATP6AP1,FADD,IRAK2,JAK2,RELA,IRAK1,IFNA17,HSPA9,IRAK4,IFNA14,HLA-DPB1,ARHGEF12,RAB5A,RAB5C,RAB5B,CAMK2D,HLA-DRB3,HLA-DRB1,CTSD,CAMK2A,CREB1,HLA-DRB5,PIK3C3,SYK,RFX5,CAMK2B,TLR2,TLR1,TLR6,CAMK2G,TLR4,TLR9,ATP6V0A4,RFXANK,VDR,IL10RA,IL10RB,ATP6V1H,IFNA6,CD209,IFNGR1,IFNGR2,IFNA16,TIRAP,IFNA10,CARD9,HLA-DQB1,CYP27B1,JAK1,IFNG,KSR1,MYD88,RAB7A,LBP,RHOA,RFXAP,ITGAX,CR1,TNFRSF1A,CALML3,CORO1A,CALML6,CALML5,CALML4,TCIRG1,CD14,ATP6V0A1,ATP6V0A2,CREBBP,CD74,TGFB1,SPHK1,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,IL1A,IL1B,RAF1,FCER1G,STAT1,CIITA,TRADD,IFNB1,MAPK3,MAPK1,C3,NFKB1,MAPK8,MAPK9,APAF1,ATP6V0B,SRC,PLA2R1,IFNA13,BAX,LAMP1,ATP6V0D2,EP300,ATP6V0D1,IL18,IFNA8,IL10,IFNA2,IFNA1,IFNA7,NFYA,IFNA5,IFNA4,IL6,IFNA21,HLA-DOA,HLA-DOB,HLA-DPA1,SPHK2,TGFB2,TGFB3,IL23A,ATP6V0C,FCGR3A,IL12B,IL12A,FCGR3B,NFYC,NFYB,BAD,RIPK2,CYCS,CEBPB,HLA-DRA,CEBPG,EEA1,BID,CAMP,HSPD1,NOD2,MALT1,ITGAM,NOS2,ITGB2,TRAF6,FCGR2B,FCGR2C,FCGR2A,TNF,HLA-DRB4,LAMP2,BCL10,CLEC4M,PPP3CC,CASP3,CLEC4E,CLEC7A,CASP8,CASP9,PPP3CA,PPP3CB,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQA2,BCL2
Terpenoid backbone biosynthesis - Homo sapiens (human)	path:hsa00900	KEGG	DHDDS,IDI1,IDI2,GGPS1,PCYOX1,ACAT1,ACAT2,NUS1,HMGCS1,HMGCS2,FNTA,FNTB,PDSS2,PDSS1,MVD,HMGCR,MVK,ICMT,FDPS,PMVK,ZMPSTE24,RCE1
Collecting duct acid secretion - Homo sapiens (human)	path:hsa04966	KEGG	ATP6V1D,ATP6V1F,ATP6V1A,SLC4A1,CLCNKB,ATP6V0A4,ATP6V1C1,SLC12A7,ATP6V0D2,ATP6V0D1,ATP6V0A1,ATP6V0C,ATP6V0A2,ATP6V0E1,ATP6V1B2,ATP4A,ATP4B,ATP6V1B1,CA2,ATP6V1E1,ATP6V1E2,TCIRG1,ATP6V1G3,ATP6V1G2,ATP6V1G1,ATP6V1C2,ATP6V0E2
Th17 cell differentiation - Homo sapiens (human)	path:hsa04659	KEGG	PPP3R2,PPP3R1,TBX21,IL6ST,IL21,IL22,IKBKG,TYK2,RARA,IL12RB1,RORC,RORA,HSP90AB1,JAK2,RELA,HLA-DPB1,IFNG,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,GATA3,CD4,AHR,RUNX1,LAT,CD3D,CD3E,CD3G,NFATC1,NFATC2,NFATC3,NFKBIB,NFKBIA,HIF1A,NFKBIE,IFNGR1,IFNGR2,IL1R1,JUN,IL4,HLA-DQB1,JAK3,JAK1,IL4R,FOS,CHUK,IRF4,LCK,FOXP3,SMAD4,SMAD2,SMAD3,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,STAT6,STAT3,STAT1,MAPK3,MAPK1,IKBKB,NFKB1,MAPK8,MAPK9,IL17D,TGFBR2,IL17F,IL17A,RXRG,RXRA,RXRB,IL6R,MTOR,IL2RA,IL2RB,IL2RG,IL21R,IL6,STAT5B,STAT5A,IL2,HLA-DOA,HLA-DOB,HLA-DPA1,HSP90AA1,TGFB1,IL23A,TGFBR1,PLCG1,CD247,IL23R,HLA-DRA,ZAP70,IL1RAP,PRKCQ,IL27RA,PPP3CA,PPP3CB,PPP3CC,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Th1 and Th2 cell differentiation - Homo sapiens (human)	path:hsa04658	KEGG	PPP3R2,PPP3R1,TBX21,IKBKB,IKBKG,TYK2,IL12RB1,RBPJ,IL12RB2,JAK2,RELA,HLA-DPB1,RBPJL,IFNG,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,GATA3,MAPK14,RUNX3,MAF,LAT,CD3D,CD3E,CD3G,NFATC1,NFATC2,NFATC3,NFKBIB,NFKBIA,NFKBIE,IFNGR1,IFNGR2,MAML2,MAML3,MAML1,JUN,IL4,HLA-DQB1,JAK3,JAK1,IL4R,FOS,CHUK,LCK,CD4,MAPK10,MAPK11,MAPK12,MAPK13,STAT6,STAT4,STAT1,MAPK3,MAPK1,NFKB1,MAPK8,MAPK9,DLL1,DLL3,DLL4,IL2RA,IL2RB,IL2RG,IL13,STAT5B,STAT5A,IL5,IL2,HLA-DOA,HLA-DOB,HLA-DPA1,IL12B,IL12A,PLCG1,CD247,HLA-DRA,ZAP70,JAG2,JAG1,PRKCQ,NOTCH1,NOTCH2,NOTCH3,PPP3CA,PPP3CB,PPP3CC,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Rap1 signaling pathway - Homo sapiens (human)	path:hsa04015	KEGG	ACTG1,CRKL,TLN2,RAPGEF4,RAPGEF5,RAPGEF6,AKT3,RAPGEF1,RAPGEF2,RAPGEF3,ARAP3,FGFR4,RALA,CALM2,LPAR4,CALM1,PARD6G,PIK3CA,PIK3CB,PIK3CD,PARD6B,PARD6A,MAGI3,MAGI2,MAGI1,CDH1,GRIN1,FGFR1,IGF1R,ANGPT1,FPR1,EPHA2,KITLG,FGFR2,FGFR3,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,AKT1,ADCY3,ADCY8,ADCY9,KIT,F2R,LAT,MAPK1,ACTB,RASGRP2,RASGRP3,NGF,APBB1IP,CTNND1,GNAO1,HRAS,SKAP1,RASSF5,PDGFB,DOCK4,CSF1,RRAS,PDGFC,FARP2,ADORA2A,ADORA2B,CDC42,GNAI2,THBS1,TIAM1,PIK3R3,PIK3R2,PIK3R1,ANGPT2,GNAI1,ANGPT4,PLCB1,PLCB2,PLCB3,PLCB4,RHOA,MRAS,VEGFD,AKT2,VEGFA,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,CALM3,LPAR2,GNAQ,GNAS,CALML3,VAV2,CALML6,CALML5,CALML4,PFN1,PFN2,PFN3,ITGAL,ITGAM,IGF1,LPAR5,FGF22,RALB,FGF20,FGF21,PDGFRB,PDGFRA,VEGFC,MAP2K1,VEGFB,RAP1B,RAP1A,MAPK14,KRIT1,PLCE1,MAPK11,MAPK12,MAPK13,FLT4,EGF,RAF1,GNAI3,FLT1,CNR1,TEK,RAC2,ITGA2B,CSF1R,MAPK3,FGF19,FGF18,SIPA1,FGF10,FGF17,FGF16,KDR,SRC,RALGDS,EFNA5,EFNA4,EFNA3,EFNA2,EFNA1,CTNNB1,RGS14,MAP2K6,AFDN,PLCG1,ID1,MET,F2RL3,LPAR3,LPAR1,PRKD1,PRKD2,PRKD3,EGFR,MAP2K3,MAP2K2,INSR,NGFR,CRK,INS,FYB1,PGF,BCAR1,RAP1GAP,NRAS,TLN1,SIPA1L1,PFN4,SIPA1L3,SIPA1L2,ITGB1,PDGFA,ITGB3,ITGB2,PDGFD,RAC3,RAC1,PRKCA,PRKCB,PRKCG,PRKCZ,HGF,LCP2,VASP,P2RY1,PARD3,PRKCI,DRD2,FGF23,GRIN2B,GRIN2A,BRAF
Purine metabolism - Homo sapiens (human)	path:hsa00230	KEGG	FHIT,NME1-NME2,POLR3F,POLR3G,POLR3D,POLR3E,POLR3B,POLR3C,POLR3A,HDDC3,POLR3K,POLR3H,ALLC,DCK,PDE10A,PDE7A,GUCY1A2,PRIM1,PDE8B,AMPD2,PFAS,NPR1,NPR2,ENTPD4,ENTPD3,ENTPD2,ENTPD1,ENPP4,ENPP3,POLR3GL,ENPP1,APRT,ADCY7,GUK1,PDE8A,GMPR,GMPS,NME4,ADCY5,ADCY6,NME7,NME1,NME2,ADCY3,NME3,ADCY8,ADCY9,GUCY1B1,ADCY1,POLR1A,POLR1B,ADCY4,POLR1D,POLR1E,ADCY2,NT5M,NT5C,NT5E,XDH,GUCY1A1,PAICS,PPAT,RRM2B,NT5C1B-RDH14,NUDT2,PDE5A,PKM,NUDT9,URAD,GUCY2C,GUCY2D,GUCY2F,ADA2,PGM1,PGM2,NUDT5,POLR2E,POLR2D,POLR2G,POLR2F,POLR2A,POLR2C,POLR2B,POLR2L,GART,POLR2I,POLR2H,POLR2K,POLR2J,PDE6B,PDE6C,PDE6A,POLE3,PDE6G,PDE6D,PDE6H,POLR2J2,POLR2J3,ADSS,AMPD3,NT5C3A,AMPD1,POLE,PDE11A,ADCY10,ADSL,NT5C3B,ADSSL1,ADPRM,PKLR,HPRT1,PDE3A,PDE3B,POLD1,POLD2,POLD3,POLD4,PRIM2,NUDT16,ADA,ADK,ZNRD1,AK8,AK3,AK2,AK1,AK7,AK6,AK5,AK4,GDA,POLR1C,DGUOK,PDE4A,PDE4B,PDE4C,PDE4D,POLA2,POLA1,ATIC,ENTPD6,PNPT1,ENTPD5,PDE9A,RRM2,RRM1,NTPCR,PAPSS1,PAPSS2,PRPS2,PRPS1,PDE1C,PDE1B,PDE1A,AK9,IMPDH1,IMPDH2,PDE7B,POLE4,NT5C1B,NT5C1A,GMPR2,NT5C2,POLE2,CANT1,PRPS1L1,ENTPD8,NME6,PNP,PDE2A,ITPA,TWISTNB,PRUNE1
Amodiaquine Pathway, Pharmacokinetics	PA165815256	PharmGKB	CYP2C8,CYP1B1,CYP1A1
Ras signaling pathway - Homo sapiens (human)	path:hsa04014	KEGG	BCL2L1,RGL2,IKBKB,RAPGEF5,AKT2,AKT3,RASA4,IKBKG,RASAL1,BDNF,RASAL2,FGFR4,SOS1,RALA,CALM2,CALM3,CALM1,PIK3CA,PIK3CB,PIK3CD,NTRK1,GNG12,GNG13,PLA2G6,PLA2G5,PLA2G3,RELA,KRAS,SHC4,IGF1R,RAB5A,SHC1,SHC2,SHC3,EPHA2,FASLG,HTR7,STK4,KITLG,FGFR2,FGFR3,FGFR1,PLD1,PLD2,AKT1,PTPN11,CSF1,PLCG1,KIT,GNG7,GNG4,GNG5,GNG2,GNG3,PAK4,PAK5,PAK6,PAK1,GNG8,PAK3,RASGRP2,RASGRP3,NGF,RASGRP1,RASGRP4,RASSF1,HRAS,RRAS2,RASSF5,GAB1,RRAS,RASA4B,PLA2G1B,PDGFD,RASAL3,JMJD7-PLA2G4B,TGFA,ELK1,PLA2G12B,PLA2G12A,PRKACG,EGF,TIAM1,GRB2,PIK3R3,PIK3R2,NF1,ANGPT2,KSR1,KSR2,ANGPT1,LAT,ANGPT4,IGF2,IGF1,RHOA,CHUK,PLA1A,MRAS,VEGFD,VEGFA,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,PLA2G16,PLA2G10,RASA3,CALML3,BUB1B-PAK6,CALML6,CALML5,INS,PAK2,PIK3R1,FGF22,RALB,FGF20,FGF21,PDGFRB,PDGFRA,VEGFC,RALBP1,GNG10,VEGFB,RAP1B,RAP1A,GNG11,PLA2G4C,MAPK10,NTRK2,REL,SOS2,ABL1,FLT4,ABL2,RAF1,FLT3,FLT1,TEK,TBK1,CSF1R,ARF6,PLA2G4F,MAPK3,FGF19,FGF18,PLA2G4E,NFKB1,MAPK8,FGF10,FGF17,FGF16,KDR,NTF3,NTF4,RALGDS,GNB5,GAB2,EFNA5,EFNA4,GNB1,EFNA2,GNB3,GNB2,PLA2G2A,PLA2G2C,PLA2G2E,PLA2G2D,PLA2G2F,GRIN1,MAP2K1,MAPK9,RASGRF1,RASGRF2,MAP2K2,AFDN,RIN1,INSR,MET,SHOC2,PRKACA,PRKACB,CDC42,PLCE1,EGFR,PLCG2,BAD,NGFR,FOXO4,CALML4,PGF,RAB5C,MAPK1,RGL1,RAB5B,NRAS,ETS2,ETS1,ZAP70,GNB4,PDGFA,PDGFB,PDGFC,RAC2,RAC3,RAC1,PRKCA,EFNA3,PRKCB,PRKCG,SYNGAP1,EFNA1,HGF,PLA2G4B,PLA2G4A,RASA1,RASA2,PLA2G4D,EXOC2,BRAP,FGF23,GRIN2B,GRIN2A,GNGT2,GNGT1,FLT3LG
Salivary secretion - Homo sapiens (human)	path:hsa04970	KEGG	CD38,FXYD2,CALM2,CALM3,CALM1,RYR3,LYZ,SLC12A2,TRPV6,PRH2,PRH1,ADCY4,AQP5,ATP1B4,ATP1B2,ATP1B3,ATP1B1,LPO,KCNN4,ADCY7,ATP2B1,ATP2B3,ATP2B2,ATP2B4,ADCY1,ADRA1A,ADCY5,ADCY6,ADRA1B,ADRA1D,ADCY2,ADCY3,ADCY8,ADCY9,BST1,GUCY1B1,SLC9A1,KCNMA1,GUCY1A1,DMBT1,GUCY1A2,PRKG1,PRKG2,PRKACA,PLCB1,PLCB2,PLCB3,PLCB4,ITPR2,ITPR3,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,BEST2,AMY1A,AMY1C,AMY1B,HTN3,HTN1,SLC4A2,MUC5B,CST2,CST3,CST1,CST4,CST5,PRB1,PRB2,STATH,ADRB1,ADRB2,ADRB3,ATP1A3,ATP1A2,ATP1A1,PRKACB,ATP1A4,PRKACG,CAMP,NOS1,PRKCA,MUC7,PRKCB,CHRM3,PRKCG,VAMP2
Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	path:hsa00290	KEGG	SDSL,BCAT2,BCAT1,SDS
Pancreatic secretion - Homo sapiens (human)	path:hsa04972	KEGG	CD38,CPA1,FXYD2,CTRL,CELA2A,CELA2B,PNLIP,RYR2,PLA2G5,PLA2G3,SLC12A2,ATP1B4,ATP1B2,ADCY6,ATP1B1,ATP2B1,ATP2B3,ATP2B2,ATP2B4,ADCY4,ADCY5,RAB27B,ADCY7,ADCY1,ADCY2,ADCY3,ADCY8,CPB2,CPB1,BST1,CFTR,ATP2A1,ATP2A2,ATP2A3,ADCY9,PLA2G1B,SLC9A1,CPA2,CPA3,PLA2G12A,CEL,KCNMA1,RAB11A,PLCB1,PLCB2,PLCB3,PLCB4,KCNQ1,SLC26A3,ITPR2,ITPR3,RHOA,ITPR1,PLA2G10,GNAQ,GNAS,SCTR,RAP1B,RAP1A,SLC4A4,TRPC1,SLC4A2,CLCA2,CLCA1,CLCA4,RAB8A,PLA2G2A,PLA2G2C,CTRB1,PLA2G2E,PLA2G2D,PLA2G2F,TPCN2,CCKAR,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PRSS1,PRSS3,PRSS2,PNLIPRP1,PNLIPRP2,AMY2A,AMY2B,RAC1,PRKCA,CELA3B,PRKCB,CHRM3,PRKCG,ATP1B3,RAB3D,CELA3A,CA2,PLA2G12B
